0,1,2,3,4,5
Date,Description,Type,In (£),Out (£),Balance (£)
,,,,,
04 Sep19,LNK COOPERATIVE SW CD 4821 08DEC19,CPT,,300.00,873.56
09 Sep19,P ADAMCZUK KASA 7420,TFR,50.0,,923.56
,,,,,
11 Sep19,BARCLAYCARD CD 7420,DEB,,2.5,921.06
15 Sep19,WESTERN VILLA CD 7420,DEB,240.0,681.06,
,,,,,
16 Sep19,WINELEAF CD 7420,DEB,26.69,654.37,
23 Oct 19,WINELEAF CD 7420 DEB,,,10.5,2469.06.
24 Oct 19,LNK PO MITCHAM LAN CD 7420 11SEP15 CPT,,,150.0,2319.06
27 Oct 19,MCDONALDS CD7420 DEB,,,25.79,2293.67
30 Oct 19,SUPER CHOICE CD 7420 DEB,,,76.6,2216.67
05 Nov 19,TESCO STORES 6765 CD 7420 DEB,,,42.6,2174.07
06 Nov 19,CROY CTRL 773001 DEB,,200.12,,2374.07
,,,,,
07 Nov 19,VODAFONE LTD 7014378191-1001 DD,,,50.0,2324.07
11 Nov 19,LOYD ROYDON CENTR CD 7420 CPT,,,200.0,2124.07
,,,,,
13 Nov 19,NIKE FACTORY STORE CD 7420 DEB,,,250.0,1874.07
13 Nov 19,LOYD STREATHAM HIG CSH,,,340.0,1534.04
,,,,,
14 Nov 19,".$7( (<5 * ' /7' .(*' )3,",,870.0,,2404.04
,53,,,,
,,,,,
17 Nov 19,KINGS TUN CD 7420 DEB,,,56.6,2347.44
18 Nov 19,LNK COOPERATIVE SW CD 7420 17NOV19 CPT,,,170.0,2177.44
,,,,,
19 Nov 19,WESTERN VILLA CD7420 DEB,,,185.6,1991.84
,,,,,
19 Nov 19,P ADAMCZUK KASA TFR,,,210.0,1781.84
,,,,,
22 Nov 19,BEDFORD TAVERN CD 7420 DEB,,,198.0,1583.84
23 Nov19,MCDONALDS DC 7420 DEB,,,16.34,1567.05
26 Nov 19,KATE EYR G D LTD KEGD FPI,,960.0,,2527.05
,RP4679966305820600,,,,
27 Nov19,LNK WEST NORWOOD 1 CD 7420 27NOV19 CPT,,,70.0,2457.05
,,,,,
28 Nov 19,DELIGHT CD 7420 DEB,,,133.45,2324.05
